사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
Aug-21,경부선,265,세마,215,0,"1,741",526,"4,205","1,139","8,001","3,120","6,238","7,229","4,278","2,124","3,232","1,535","2,821","1,952","3,162","1,991","3,041","2,120","2,620","2,199","2,840","1,945","2,986","3,356","4,264","4,826","6,157","6,181","2,382","6,721","1,613","3,793","1,376","3,845",742,"2,785",246,"1,205",13,79,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경부선,266,오산대,305,1,"2,128",779,"5,088","2,025","9,184","3,431","6,903","6,549","3,993","2,182","3,359","2,564","3,140","2,619","3,274","2,806","3,750","3,386","3,301","3,325","3,510","2,714","4,553","3,971","5,244","5,085","7,132","9,179","3,337","6,812","2,608","3,979","2,264","4,313","1,271","2,834",469,"1,447",38,85,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경부선,267,오산,386,0,"5,264","1,866","12,335","7,442","18,666","24,675","16,654","17,222","12,624","9,909","12,166","8,278","11,923","8,730","14,167","10,107","11,740","10,481","11,733","10,381","12,000","12,302","15,314","14,889","20,996","17,254","23,085","23,933","12,978","17,980","10,317","15,535","7,591","12,756","3,785","7,606","1,217","4,289",46,325,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경부선,268,진위,15,0,710,232,"1,129","2,281","2,202","5,940","2,118","6,398","1,394","1,087","1,099",845,"1,137",860,"1,323",823,"1,172",918,"1,256",767,"1,389","1,064","2,270","1,319","4,644","1,394","7,941","1,847","2,500","1,989","1,710","1,205","1,077","1,194",481,848,212,510,0,37,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경부선,269,송탄,205,2,"5,649",688,"6,679","2,521","10,947","4,529","8,901","5,810","6,500","3,335","6,077","3,260","6,009","3,290","5,761","4,303","5,792","4,270","5,095","4,759","5,602","5,372","5,863","6,050","6,969","8,793","8,096","10,245","4,642","11,179","3,127","7,246","2,561","6,660","1,418","5,578",515,"3,801",33,266,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경부선,270,서정리,70,1,"3,371","4,355","7,648","5,649","10,684","9,865","9,726","11,933","7,657","5,782","7,387","5,437","7,859","5,464","8,881","7,199","8,368","7,441","8,212","6,442","8,924","6,946","9,988","9,545","18,049","12,066","15,048","11,794","7,463","11,707","5,669","9,235","4,055","7,052","1,660","6,384",630,"4,083",17,300,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경부선,271,평택지제,15,0,"1,155","3,883","2,826","6,156","6,845","8,414","4,627","6,055","3,260","3,521","3,016","1,972","2,942","2,438","4,027","2,770","2,484","2,610","3,434","2,590","4,626","3,154","4,985","3,444","9,227","3,882","8,183","6,190","5,088","4,685","3,428","3,733","3,232","3,115","2,389","2,496",821,"1,258",0,73,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경부선,272,평택,153,1,"6,007","2,590","12,038","6,929","21,734","12,339","17,510","19,438","15,474","16,029","15,884","12,709","15,694","16,904","16,585","16,785","16,452","16,721","16,074","18,590","17,373","18,557","19,895","20,595","25,058","24,423","24,328","28,198","16,914","20,473","17,761","15,173","11,822","12,945","7,860","9,525","2,849","5,287",21,"1,012",0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경부선,273,성환,38,2,"1,550",491,"2,802","1,954","4,380","7,838","4,756","8,236","4,389","3,980","4,172","3,195","4,043","3,326","4,236","4,296","4,925","4,107","4,657","3,721","6,179","4,035","5,545","4,411","8,287","5,497","7,546","5,856","3,346","4,600","3,259","4,081","1,724","3,981",893,"3,020",367,"1,764",27,531,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경부선,274,직산,84,5,361,228,970,762,"1,243","2,122","1,003","2,582",853,757,874,647,865,722,916,792,884,770,821,741,"1,065",846,"1,051",815,"2,274","1,151","2,456","1,301",930,"1,271",685,757,457,749,350,572,173,616,23,71,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경부선,275,두정,"1,076",3,"3,535",489,"6,798","2,078","10,665","5,047","8,902","6,967","6,762","6,497","6,050","5,066","5,910","5,538","6,317","6,558","6,133","6,242","6,108","6,120","6,894","5,831","7,317","8,487","8,839","9,491","9,651","14,337","5,562","9,986","5,023","7,881","4,431","5,672","3,727","5,052","1,252","4,872",25,989,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경부선,276,천안,"1,176",3,"2,471",519,"4,473","2,523","7,324","4,048","6,474","8,209","7,793","8,415","6,744","7,847","8,574","10,626","8,490","12,109","9,084","11,213","10,057","9,311","11,755","9,853","12,676","9,366","11,166","11,325","10,436","11,856","7,348","8,725","6,144","6,760","4,187","4,090","2,883","3,099","1,013","2,577",9,784,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경부선,277,당정,24,2,"3,346","1,005","9,039","2,588","20,759","7,793","18,285","12,390","9,388","4,386","6,667","3,495","6,133","3,635","6,399","3,841","6,008","4,367","5,070","4,502","5,857","4,874","5,794","6,807","8,454","9,375","11,863","18,044","4,649","15,616","3,619","10,332","2,651","8,249","1,812","7,381",511,"3,142",6,63,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경부선,278,서동탄,1,0,927,11,"3,756",746,"8,375","1,697","2,781","1,393","1,840",835,"1,310",657,"1,424","1,187","1,221","1,009","1,318","1,048","1,154","1,158","1,477","1,634","1,428","1,350","1,574","2,095","2,238","3,948",955,"5,061",778,"2,083",477,"1,631",384,"1,827",28,777,3,411,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경부선,279,광명,0,0,7,"1,326","2,159","3,315","10,172","4,393","8,412","4,091","4,246","3,479","2,570","2,702","4,539","1,793","3,274","5,144","3,145",116,"2,819","5,368","5,590","2,747","2,513","3,417","6,086","4,527","6,858","10,101","6,533","5,928","3,739","2,904","2,677","4,314","1,503","1,473",388,20,0,0,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경인선,293,개봉,"1,452",6,"17,153","5,577","32,371","11,268","74,875","13,633","71,770","21,201","42,264","17,993","28,884","14,864","26,267","16,706","26,622","19,901","24,665","19,872","21,633","22,404","21,041","26,813","24,202","34,372","25,541","50,436","25,694","82,212","14,871","62,134","11,357","33,876","9,675","32,221","6,554","23,817","1,696","8,316",12,520,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경인선,294,오류동,762,6,"11,716","1,936","15,934","4,752","43,954","5,940","42,451","10,969","23,695","10,195","17,198","8,551","15,152","9,307","15,589","10,800","13,978","11,406","12,700","12,337","12,293","14,841","13,166","17,676","13,037","23,666","12,579","39,627","7,235","34,039","5,788","18,737","4,772","17,330","3,466","13,027",893,"5,077",3,309,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경인선,295,역곡,"1,130",10,"25,456","3,665","39,331","9,599","101,061","11,474","97,621","24,339","51,865","20,689","33,430","18,480","29,858","20,040","30,054","23,922","28,398","23,255","24,873","25,696","23,738","28,271","24,804","42,103","29,651","58,751","28,120","96,950","17,291","84,226","14,327","45,833","12,598","40,482","8,714","32,221","1,850","13,069",9,297,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경인선,296,부천,"2,658",12,"33,907","5,157","38,777","11,443","89,480","16,584","89,664","37,572","50,580","35,851","38,271","33,317","39,383","34,608","40,479","41,254","39,572","42,400","38,072","43,119","39,379","45,958","42,358","52,606","47,675","71,304","50,665","109,162","33,329","85,018","28,956","44,209","29,822","42,049","18,763","31,627","3,623","15,670",2,301,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경인선,297,송내,"1,803",9,"14,093","7,506","33,087","13,336","88,874","25,780","74,259","60,405","39,128","34,378","28,515","19,415","29,842","19,687","28,993","21,119","26,689","21,884","24,306","22,687","25,822","24,148","30,315","30,644","34,395","46,878","59,749","79,447","25,665","73,114","17,461","39,171","15,298","34,424","11,579","27,150","3,207","10,946",18,148,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경인선,298,부평,"7,237",31,"18,437","4,985","31,529","10,346","69,249","17,179","66,679","29,581","37,695","34,926","32,481","32,292","33,346","35,911","35,240","42,835","36,235","49,502","36,325","49,277","39,507","47,953","44,667","57,690","51,979","68,347","51,088","99,626","36,439","76,196","35,099","40,732","38,559","34,502","26,138","28,328","5,306","12,902",48,"1,114",0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경인선,299,백운,147,3,"7,002","1,675","12,437","4,015","24,500","3,965","20,486","7,421","12,654","5,554","9,915","5,453","9,441","6,284","9,270","6,659","8,563","7,122","7,221","7,160","7,196","8,887","8,067","11,211","9,144","13,852","7,468","20,975","4,330","20,230","3,489","11,609","2,818","10,769","1,832","8,247",669,"4,249",6,305,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경인선,300,동암,606,5,"17,668","4,096","24,834","9,557","45,779","12,660","42,657","15,774","25,306","13,028","20,111","12,487","18,655","14,557","18,998","14,579","17,973","15,337","15,885","14,872","15,834","19,240","18,050","23,336","20,920","31,437","20,498","44,371","12,167","40,745","9,786","25,592","8,428","23,788","5,649","19,689","1,482","8,481",29,745,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경인선,301,주안,"1,159",17,"12,063","4,170","22,702","7,969","52,142","14,752","45,297","24,989","28,903","18,827","21,970","14,013","22,966","14,093","24,667","17,218","23,385","16,312","21,258","18,881","22,226","19,365","25,640","24,926","30,456","30,323","31,235","47,131","17,746","49,625","15,104","26,486","14,519","23,455","9,698","19,137","2,154","10,957",79,"1,171",0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경인선,302,제물포,881,7,"6,921","1,712","12,593","4,302","33,264","10,098","27,822","20,767","15,893","10,711","12,472","7,774","12,253","7,282","12,583","8,642","11,770","9,429","10,623","9,370","11,700","9,642","14,127","12,460","15,081","17,116","18,207","26,657","7,558","25,326","5,235","15,088","4,288","14,162","2,790","12,073",747,"6,223",11,958,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경인선,303,동인천,"1,683",5,"5,915","2,421","13,565","10,176","34,569","19,865","25,779","27,260","17,355","13,655","16,073","14,823","16,912","16,820","18,745","16,992","18,813","18,565","18,441","17,502","20,767","16,755","23,233","18,531","29,579","22,132","32,951","29,031","15,386","28,570","10,627","16,335","8,915","12,692","4,916","11,861",871,"5,263",4,"1,257",0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경인선,304,인천,240,15,"1,151","1,163","2,583","3,717","4,871","5,122","4,183","7,025","3,040","3,549","3,147","5,074","4,065","6,686","5,593","7,437","6,626","6,693","7,614","6,749","8,738","5,512","9,752","4,813","11,738","3,868","11,012","3,386","5,574","2,387","4,674","1,725","3,250","1,374","1,749","1,154",272,604,2,317,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경인선,305,구일,345,20,"3,688","1,406","8,231","3,018","22,249","6,101","20,106","8,837","10,368","4,935","7,530","3,725","6,618","3,869","6,686","4,337","6,340","5,189","5,695","5,502","6,035","6,647","7,285","8,377","7,491","11,797","9,010","22,298","3,874","17,925","2,809","9,435","2,629","8,485","1,919","6,022",540,"2,532",2,113,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경인선,306,소사,"1,577",43,"15,732","2,591","14,299","5,217","28,827","6,365","25,947","8,516","16,502","7,625","12,400","6,874","10,634","7,614","10,814","8,691","9,213","8,560","8,665","9,243","8,598","9,849","8,781","12,847","10,326","17,356","8,964","27,019","5,261","22,313","3,977","12,876","3,392","13,442","2,265","9,661",729,"5,725",3,90,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경인선,307,부개,"1,963",7,"8,776","2,441","14,202","3,731","32,649","4,768","26,003","8,886","14,863","5,886","11,568","5,713","10,252","6,863","10,086","7,130","10,032","8,059","8,182","7,923","8,084","9,743","9,460","12,874","9,477","17,482","9,644","25,712","5,185","21,714","3,776","13,503","3,157","12,217","2,271","9,246",689,"4,375",5,125,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경인선,308,간석,332,7,"4,844","1,150","9,294","2,364","20,175","3,637","16,461","8,079","10,054","4,950","7,619","4,764","7,191","5,546","7,675","5,459","7,274","6,215","6,865","5,931","6,702","7,263","7,327","8,608","7,152","11,111","8,340","16,752","4,111","16,241","3,136","9,092","3,286","7,129","1,980","6,616",724,"3,501",17,306,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경인선,309,도원,575,13,"2,173",788,"2,600","2,047","5,080","4,643","5,301","12,067","3,555","3,222","3,277","2,987","3,605","2,954","3,268","2,995","3,465","3,162","3,574","3,027","5,056","3,428","7,263","3,813","5,690","4,309","5,844","5,103","2,209","4,361","1,564","2,954","1,328","2,434",723,"1,864",169,"1,351",16,306,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경인선,310,온수(성공회대입구),314,2,"4,987","1,337","7,748","3,300","19,215","6,767","18,917","10,110","11,864","5,246","8,951","5,085","8,083","5,105","9,176","5,897","8,212","6,021","7,448","6,317","7,741","7,672","9,500","9,016","9,207","12,337","8,486","19,260","4,719","16,519","3,173","9,510","3,135","8,348","1,952","7,117",586,"2,573",0,153,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경인선,311,중동,981,8,"9,730","1,203","15,029","3,573","36,273","5,016","27,796","11,662","15,058","7,300","11,548","7,102","10,914","8,242","11,030","8,451","10,603","8,640","9,388","9,194","9,159","9,947","9,733","12,838","9,982","17,288","11,052","27,363","5,623","25,945","4,271","13,988","3,916","12,138","2,589","9,972",682,"4,672",3,89,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경인선,312,도화,429,2,"4,097",580,"6,362","1,531","14,230","3,561","11,788","6,211","7,285","3,350","5,797","3,378","5,089","3,744","5,233","4,227","5,100","4,080","4,594","4,703","4,491","4,744","5,097","6,260","5,449","7,880","5,516","10,386","2,664","10,538","2,167","5,820","1,795","4,692","1,326","3,650",430,"2,604",4,368,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경원선,128,이촌(국립중앙박물관),85,3,950,642,"2,888","2,033","6,198","4,085","7,167","6,989","5,913","4,396","4,679","2,857","4,505","2,943","4,925","3,125","4,865","3,401","4,642","3,203","5,285","3,643","6,231","4,160","8,190","5,090","8,299","6,501","4,677","5,204","3,334","3,769","3,084","3,199","1,798","2,856",382,"1,029",0,57,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경원선,129,서빙고,52,0,771,560,"1,951","2,417","2,677","3,813","2,457","7,262","2,445","2,769","2,036","1,504","1,973","1,441","2,188","1,511","2,132","1,608","2,124","1,586","2,596","1,857","3,680","1,914","5,615","2,276","5,949","3,054","2,585","2,466","1,642","1,414","1,356","1,354",832,"1,095",233,500,0,26,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경원선,130,한남,158,0,"1,721",695,"2,423","3,740","3,940","9,566","5,022","12,460","4,008","10,281","4,225","5,002","4,199","3,769","4,501","4,503","4,354","4,808","4,943","4,056","6,071","4,253","7,107","4,717","12,718","5,119","12,673","6,001","6,299","4,956","4,707","2,379","4,644","2,700","3,149","1,895",654,825,3,28,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경원선,131,옥수,0,0,3,20,2,78,29,48,111,203,100,20,37,132,18,131,17,64,15,21,21,11,18,22,276,57,287,38,26,39,329,17,39,4,63,10,9,8,4,0,0,0,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경원선,132,응봉,153,1,"1,211",271,"2,459","1,196","5,586","1,464","5,836","1,889","3,700","1,289","2,555","1,135","1,950","1,256","2,183","1,369","2,091","1,559","1,783","1,692","1,923","1,864","2,211","2,672","2,148","3,337","2,232","4,472","1,353","4,175","1,005","2,255",885,"1,775",659,"1,791",194,667,6,19,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경원선,133,왕십리(성동구청),991,3,"5,078",771,"8,065","4,740","21,339","10,492","33,465","18,613","22,945","13,222","13,584","14,536","13,870","15,902","15,520","19,691","16,137","20,533","16,560","20,801","18,523","22,650","21,449","26,237","24,541","35,532","25,745","53,284","18,386","37,736","17,365","22,274","20,740","17,926","12,025","16,973","1,903","6,002",25,"1,667",0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경원선,134,청량리(서울시립대입구),"1,328",10,"5,675","1,514","7,828","9,438","23,968","12,731","34,540","20,590","19,267","26,446","24,532","27,744","19,635","28,642","23,195","26,589","28,455","26,175","24,199","27,993","27,270","29,309","28,190","28,852","26,331","27,490","31,932","42,360","19,404","28,719","22,131","15,155","14,450","14,308","7,457","8,930","2,606","3,648",10,438,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경원선,136,외대앞,591,23,"4,330","1,090","6,664","2,394","14,879","3,208","18,983","8,239","11,626","8,369","9,676","7,070","9,383","7,442","10,075","8,009","9,646","8,106","9,360","8,524","10,250","9,969","10,825","11,705","11,011","14,280","9,656","20,538","6,255","16,155","4,948","10,260","4,815","9,818","3,600","9,356",939,"4,378",30,552,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경원선,137,신이문,"1,546",15,"8,745",923,"13,055","2,113","29,917","4,033","32,375","6,941","18,340","4,303","13,291","5,389","10,935","6,397","10,612","7,443","9,916","7,638","8,985","8,270","8,392","11,500","7,948","13,840","7,356","18,142","7,269","28,667","4,891","23,016","3,114","13,580","2,425","11,682","1,891","9,601",524,"3,731",37,500,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경원선,138,석계,"1,320",27,"5,426","1,593","10,060","3,676","21,035","5,090","25,073","7,366","16,372","6,326","12,943","6,607","11,684","7,774","11,275","8,657","10,450","9,561","9,343","10,375","9,263","13,599","9,035","17,055","10,078","20,916","9,166","33,718","6,632","23,851","4,893","14,416","5,115","12,939","3,289","9,251",809,"3,852",23,679,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경원선,139,광운대,"2,013",6,"5,346","1,142","11,988","2,222","27,212","4,610","26,530","8,047","14,059","7,542","10,390","6,105","9,062","6,822","9,144","7,371","9,166","7,924","8,046","7,901","8,207","9,388","8,750","11,301","8,263","14,319","8,125","24,074","5,024","19,248","3,900","11,925","3,730","9,999","2,684","8,316",826,"5,330",35,"1,658",0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경원선,140,월계,"1,014",5,"4,920","1,005","8,188","2,417","20,810","5,676","18,917","7,914","12,268","4,835","9,642","4,945","8,697","5,289","8,217","6,117","7,489","6,556","7,065","6,107","7,305","7,733","8,261","10,343","6,892","12,126","6,954","19,105","3,945","15,895","2,797","8,882","2,424","7,529","1,751","6,103",437,"2,710",27,475,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경원선,141,녹천,"1,350",22,"4,076",638,"7,107","1,244","17,956","3,063","14,992","4,371","9,384","2,335","6,794","3,155","5,927","3,350","6,927","3,844","5,469","3,958","4,489","4,020","4,637","4,817","5,417","6,668","4,772","7,605","4,248","13,683","3,096","11,174","1,502","6,693","1,459","6,058",818,"4,635",324,"2,450",48,367,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경원선,142,창동,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경원선,358,방학,829,15,"11,310","1,700","13,952","4,944","26,894","8,048","25,170","17,531","16,924","9,458","13,824","9,590","13,047","9,317","12,827","10,457","11,821","9,688","11,239","11,650","11,190","13,697","11,946","15,855","12,582","18,727","15,807","25,638","8,536","23,305","5,680","12,563","4,839","10,823","3,014","9,402",784,"4,249",50,"1,009",0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경원선,359,도봉,413,25,"6,447","1,179","9,088","3,346","16,920","3,909","16,246","9,079","11,514","6,865","9,638","6,993","8,522","6,173","8,138","7,262","8,103","6,906","8,034","7,796","8,006","8,947","8,276","9,459","8,296","11,404","9,141","14,871","4,429","14,206","2,663","7,904","2,143","6,716","1,366","6,118",458,"2,690",28,601,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경원선,360,도봉산,291,8,"5,727","1,277","8,498","3,331","19,477","4,807","18,680","7,674","12,562","10,390","10,963","12,611","10,696","11,283","12,410","11,798","13,960","9,432","15,469","8,383","16,368","8,861","17,694","7,875","16,230","7,621","13,470","9,032","7,648","7,624","4,303","4,398","2,921","3,800","1,564","3,531",421,"1,640",24,502,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경원선,361,망월사,492,2,"7,255",998,"11,684","3,223","23,277","4,115","22,666","10,079","14,005","8,070","11,096","7,152","10,515","7,144","9,684","8,994","9,218","7,800","8,480","8,166","8,866","9,283","8,742","11,924","9,454","14,800","8,924","22,804","4,236","21,098","2,867","12,099","2,691","10,014","1,956","8,398",604,"3,656",48,866,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경원선,362,회룡,"1,128",7,"13,302","2,077","23,020","5,083","47,645","8,173","39,605","10,885","23,887","10,384","19,817","10,430","17,981","11,250","16,990","13,850","15,345","13,082","13,488","14,673","13,047","16,683","11,365","20,882","12,202","26,650","11,074","38,870","6,408","37,517","4,936","19,789","4,051","16,837","2,921","13,001",682,"5,479",62,"1,387",0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경원선,363,의정부,"2,389",11,"8,564","1,954","19,844","6,451","40,554","12,744","37,374","32,473","22,767","27,802","20,599","25,441","22,709","23,962","24,306","27,635","24,010","30,209","24,250","28,931","26,246","26,019","27,993","29,334","32,944","33,487","36,821","46,117","23,035","42,222","24,036","24,474","18,120","19,950","12,367","16,171","2,729","7,899",207,"2,739",0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경원선,364,가능,504,10,"7,742","1,578","10,551","3,427","21,281","6,393","19,366","11,169","10,976","7,559","9,775","5,712","8,724","6,723","9,186","6,567","7,901","7,351","7,209","6,017","7,471","7,601","7,956","9,764","9,676","12,309","8,474","16,929","5,161","17,037","3,858","10,766","3,269","7,388","2,180","7,297",565,"3,268",73,"1,219",0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경원선,365,녹양,343,1,"4,763",943,"7,794","2,230","15,659","4,422","12,119","7,435","7,380","4,134","6,662","3,120","6,159","4,847","5,968","4,380","5,372","4,627","4,868","3,715","5,150","5,404","5,501","7,125","5,830","8,660","7,046","12,018","3,132","12,408","2,331","7,002","1,963","5,324","1,295","5,255",279,"2,196",22,821,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경원선,366,양주,"1,964",8,"4,856","1,896","10,690","5,940","26,269","10,217","22,309","10,697","14,117","6,333","12,369","5,837","10,922","7,477","10,893","7,386","9,782","7,493","8,587","7,358","8,484","9,216","10,122","11,168","11,194","15,120","12,595","19,781","6,303","18,886","3,927","12,720","2,968","9,470","1,670","9,130",480,"3,459",25,"1,230",0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경원선,367,덕계,9,0,"2,481","1,170","7,016","3,773","10,904","2,890","9,614","3,732","4,895","1,912","3,623","1,526","3,502","1,875","3,131","2,077","3,109","2,350","2,709","2,000","2,895","2,918","4,165","3,453","4,023","5,855","3,961","7,944","1,600","8,180","1,161","4,603","1,022","3,532",628,"2,563",202,"1,577",3,354,0,1,0,0,0,0,2021-09-03 10:03
Aug-21,경원선,368,덕정,0,0,"3,030","1,537","7,580","5,317","15,840","8,464","14,113","11,090","8,556","5,032","6,811","3,787","7,383","4,406","6,965","5,584","6,724","5,395","6,032","4,443","5,888","5,926","6,648","6,350","9,163","10,663","10,873","12,270","4,290","12,355","3,316","6,887","2,642","7,432","1,751","5,109",803,"2,680",57,580,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경원선,369,지행,131,7,"4,707",941,"9,767","2,506","18,667","5,225","16,680","9,534","11,263","6,228","9,351","4,895","9,166","6,179","8,363","7,449","8,700","8,114","7,507","6,871","7,312","8,726","7,178","9,489","8,798","13,248","9,888","15,471","5,165","17,256","4,494","9,936","3,854","9,015","2,600","8,240",800,"4,148",49,830,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경원선,370,동두천중앙,75,0,"2,570",640,"4,823","1,969","7,813","4,095","7,162","7,931","5,663","4,116","4,808","3,418","4,524","4,504","4,730","4,252","4,841","4,184","4,223","3,390","4,731","4,173","4,055","4,186","5,235","5,145","6,577","5,343","2,709","6,509","1,645","3,851","1,088","3,251",788,"3,222",234,"1,723",15,386,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경원선,371,보산,51,0,"1,836",337,"2,337",976,"4,130","2,198","3,372","2,218","2,981","1,614","2,539","1,415","2,173","1,504","2,429","1,565","2,259","1,760","2,337","1,757","2,200","2,004","2,325","2,231","3,096","2,936","2,454","2,963","1,426","4,228",905,"2,420",677,"1,991",310,"1,626",107,922,3,208,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경원선,372,동두천,23,1,871,620,"2,709","3,096","4,818","7,697","4,831","4,373","3,704","3,201","3,727","2,848","2,997","3,443","2,353","2,170","2,944","3,132","3,357","3,145","3,440","3,317","2,955","2,917","3,610","3,202","4,546","4,135","2,237","3,585","1,230","3,234",538,"2,379",321,"1,596",143,"1,078",1,228,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,경원선,373,소요산,108,0,699,"1,190","1,386","1,929","3,265","2,979","3,565","4,240","3,964","4,428","3,846","9,532","4,518","11,139","6,792","10,707","8,458","8,452","10,934","6,693","12,385","4,943","12,482","4,453","10,158","3,083","6,224","2,014","2,722","1,489","1,523","1,525",786,895,262,716,108,796,0,270,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,안산선,280,산본,660,0,"7,505","1,915","19,450","5,919","46,189","12,312","44,716","25,782","21,298","19,089","18,366","17,173","18,502","16,485","19,124","18,068","18,355","20,129","17,818","19,638","18,223","20,514","18,958","23,893","20,777","32,267","26,559","55,012","16,241","46,606","13,661","24,359","14,366","19,327","9,676","15,148","1,466","7,148",20,682,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,안산선,281,대야미,44,3,"2,469","1,108","6,327","3,733","14,488","5,080","15,102","7,431","8,672","4,151","6,548","4,086","5,783","4,219","6,080","4,469","6,156","4,005","5,677","4,255","5,942","5,636","6,590","6,611","6,957","7,856","8,597","13,767","4,617","10,925","3,380","6,640","2,582","6,124","1,495","5,416",427,"2,011",18,176,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,안산선,282,반월,34,0,"3,087","1,007","6,894","2,387","14,456","3,142","12,875","5,455","8,046","3,186","5,846","2,887","5,428","3,750","5,050","3,705","5,198","4,033","4,522","4,378","4,220","5,373","4,802","6,670","5,634","7,551","6,108","13,580","3,274","10,399","2,362","7,232","1,517","6,159","1,028","5,154",387,"1,985",52,179,0,0,0,0,0,0,2021-09-03 10:03
