사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
Aug-21,2호선,14,을지로4가,3,0,828,"1,233","1,512","11,682","2,861","28,862","5,274","67,253","5,551","35,261","7,786","19,766","10,987","18,078","13,415","15,820","14,299","15,056","16,601","13,909","19,669","12,046","23,648","10,280","42,299","8,638","60,285","8,139","26,101","4,345","12,952","2,572","9,733","2,354","6,038","1,835","1,159",708,0,55,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,2호선,15,동대문역사문화공원(DDP),199,0,"4,474","1,019","3,606","6,402","5,419","17,295","7,743","38,984","8,159","25,427","7,948","20,217","11,139","20,863","13,000","19,379","14,154","19,361","16,286","18,788","20,920","16,556","26,541","14,742","29,860","14,637","34,201","16,852","19,666","16,453","14,975","10,423","17,012","8,292","9,174","6,442","2,424","3,592",0,205,0,1,0,0,0,0,2021-09-03 10:03
Aug-21,2호선,16,신당,28,5,"5,565","1,035","10,120","8,309","21,813","15,889","34,403","29,864","21,502","19,678","15,780","16,979","16,025","16,934","17,126","17,165","17,931","18,206","18,205","18,124","18,998","18,399","20,973","22,467","25,198","27,478","28,688","38,987","18,157","24,572","12,937","15,005","12,194","14,112","7,833","11,817","1,739","4,635",3,46,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,2호선,17,상왕십리,118,0,"4,842",494,"11,883","5,446","31,494","10,323","48,560","31,353","28,018","16,820","17,658","11,868","16,248","11,017","17,603","12,913","16,305","13,826","15,343","14,087","16,114","15,250","16,660","19,081","20,369","27,433","24,813","44,590","14,377","29,618","9,979","18,185","9,316","16,927","5,847","14,398","1,186","5,875",2,9,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,2호선,18,왕십리(성동구청),619,3,"5,741",765,"8,350","5,116","20,872","10,600","36,546","21,991","23,532","15,065","16,553","12,394","16,903","12,647","18,244","14,953","18,635","16,124","17,905","16,014","19,748","16,672","23,451","18,647","28,009","24,997","31,617","39,967","17,600","24,074","17,121","14,302","19,110","13,039","14,335","12,005","3,022","4,879",2,35,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,2호선,19,한양대,1,0,765,248,"1,940","4,606","4,088","8,590","6,725","24,255","5,004","23,497","4,418","12,152","5,922","6,905","6,854","7,645","6,549","7,770","6,083","6,906","7,341","5,400","12,821","5,350","21,751","5,747","20,651","7,425","9,294","4,598","6,468","3,646","6,212","3,704","5,413","3,080","1,775","1,372",1,2,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,2호선,20,뚝섬,35,5,"3,225","1,775","6,887","12,851","15,349","32,144","21,013","114,667","14,520","70,346","11,622","30,448","12,295","23,157","14,898","25,182","17,529","26,656","20,627","22,255","23,844","22,362","31,623","23,174","53,064","26,265","106,320","33,339","50,691","19,444","31,198","10,935","27,889","9,871","15,186","8,060","2,445","3,257",2,36,0,0,0,0,0,0,2021-09-03 10:03
Aug-21,2호선,21,성수,53,1,"5,228","3,388","8,531","26,156","19,300","67,921","25,413","228,228","19,608","124,935","18,064","43,564","18,990","34,046","21,760","38,859","26,625","40,793","30,408","35,976","36,737","35,380","47,348","34,869","94,949","37,538","202,624","44,454","86,392","26,092","51,808","13,856","47,034","11,619","25,564","9,718","3,447","5,278",6,"1,224",0,1,0,0,0,0,2021-09-03 10:03
Aug-21,2호선,22,건대입구,196,11,"11,906","1,823","17,740","16,525","44,926","22,367","75,246","50,003","50,976","42,276","30,103","34,578","29,047","37,862","32,938","46,039","34,726","51,079","35,787","49,191","40,735","53,067","48,094","59,290","61,521","75,155","73,939","111,060","50,043","71,316","51,677","41,238","60,740","40,830","38,481","32,156","5,895","13,207",11,"1,461",0,0,0,0,0,0,2021-09-03 10:03
Aug-21,2호선,23,구의(광진구청),71,0,"12,388",869,"22,435","8,612","56,806","13,930","93,748","36,215","55,052","21,151","29,559","17,718","25,003","17,326","25,871","19,696","25,217","21,629","22,900","23,135","22,580","29,636","24,610","33,120","29,041","46,874","37,517","81,783","18,394","57,856","14,091","37,122","13,916","34,996","10,893","28,727","3,379","9,784",3,688,0,0,0,0,0,0,2021-09-03 10:03
